,Labels,TimeStamps
966,['Offset Stim3'],1706284889.591838
967,['Onset Stim3'],1706284890.141396
968,['Response: left_1'],1706284890.9415805
969,['Offset Stim3'],1706284890.9416115
970,['Onset Stim3'],1706284891.4914234
971,['Response: left_1'],1706284892.3248918
972,['Offset Stim3'],1706284892.3249307
973,['Onset Stim3'],1706284892.8749373
974,['Response: left_1'],1706284893.5751054
975,['Offset Stim3'],1706284893.5751324
976,['Onset Stim3'],1706284894.1247447
977,['Response: right_1'],1706284894.8292623
978,['Offset Stim3'],1706284894.8292878
979,['Onset Stim3'],1706284895.3916044
980,['Response: right_1'],1706284896.0918972
981,['Offset Stim3'],1706284896.0919259
982,['Onset Stim3'],1706284896.6414566
983,['Response: right_1'],1706284897.17928
984,['Offset Stim3'],1706284897.1793103
985,['Onset Stim3'],1706284897.7414596
986,['Response: right_1'],1706284898.3582287
987,['Offset Stim3'],1706284898.3582675
988,['Onset Stim3'],1706284898.9082565
989,['Response: right_1'],1706284899.6584144
990,['Offset Stim3'],1706284899.6584442
991,['Onset Stim3'],1706284900.2080824
992,['Response: left_1'],1706284900.8582814
993,['Offset Stim3'],1706284900.8583124
994,['Onset Stim3'],1706284901.4125412
995,['Response: right_1'],1706284901.9751377
996,['Offset Stim3'],1706284901.9751682
997,['Onset Stim3'],1706284902.5247946
998,['Response: left_1'],1706284903.091627
999,['Offset Stim3'],1706284903.0916576
1000,['Onset Stim3'],1706284903.6458232
1001,['Response: right_1'],1706284904.224973
1002,['Offset Stim3'],1706284904.2250035
1003,['Onset Stim3'],1706284904.774789
1004,['Response: right_1'],1706284905.4582865
1005,['Offset Stim3'],1706284905.4583254
1006,['Onset Stim3'],1706284906.0124774
1007,['Response: right_1'],1706284906.5417871
1008,['Offset Stim3'],1706284906.5418227
1009,['Onset Stim3'],1706284907.0914965
1010,['Response: left_1'],1706284907.8917398
1011,['Offset Stim3'],1706284907.8917735
1012,['Onset Stim3'],1706284908.4414651
1013,['Response: left_1'],1706284909.0249999
1014,['Offset Stim3'],1706284909.0250256
1015,['Onset Stim3'],1706284909.5749953
1016,['Response: left_1'],1706284910.4463587
1017,['Offset Stim3'],1706284910.446385
1018,['Onset Stim3'],1706284911.0083368
1019,['Response: left_1'],1706284911.8085268
1020,['Offset Stim3'],1706284911.8085577
1021,['Onset Stim3'],1706284912.3751554
1022,['Response: right_1'],1706284913.058358
1023,['Offset Stim3'],1706284913.0583882
1024,['Onset Stim3'],1706284913.6081545
1025,['Response: left_1'],1706284914.1415658
1026,['Offset Stim3'],1706284914.1415956
1027,['Onset Stim3'],1706284914.696101
1028,['Response: right_1'],1706284915.258524
1029,['Offset Stim3'],1706284915.258554
1030,['Onset Stim3'],1706284915.8083377
1031,['Response: left_1'],1706284916.3584085
1032,['Offset Stim3'],1706284916.358443
1033,['Onset Stim3'],1706284916.912587
1034,['Response: left_1'],1706284917.7417097
1035,['Offset Stim3'],1706284917.7417388
1036,['Onset Stim3'],1706284918.291888
1037,['Response: right_1'],1706284919.0586855
1038,['Offset Stim3'],1706284919.0587165
1039,['Onset Stim3'],1706284919.6250834
1040,['Response: right_1'],1706284920.2084947
1041,['Offset Stim3'],1706284920.2085257
1042,['Onset Stim3'],1706284920.758228
1043,['Response: right_1'],1706284921.2417667
1044,['Offset Stim3'],1706284921.2418034
1045,['Onset Stim3'],1706284921.8082156
1046,['Response: right_1'],1706284922.3084779
1047,['Offset Stim3'],1706284922.308509
1048,['Onset Stim3'],1706284922.8583848
1049,['Response: left_1'],1706284923.5797756
1050,['Offset Stim3'],1706284923.5798059
1051,['Onset Stim3'],1706284924.1416037
1052,['Response: right_1'],1706284924.6252663
1053,['Offset Stim3'],1706284924.625296
1054,['Onset Stim3'],1706284925.1752155
1055,['Response: right_1'],1706284925.7084246
1056,['Offset Stim3'],1706284925.7084556
1057,['Onset Stim3'],1706284926.262867
1058,['Response: right_1'],1706284927.0252547
1059,['Offset Stim3'],1706284927.0252864
