sectionname,starttime,endtime,duration,responsetime,delta,condition,response,accuracy
Stim1_202,273.43009996414185,273.930223941803,0.5001239776611328,,,,,
Stim1_203,273.96341609954834,274.76349210739136,0.8000760078430176,274.76349210739136,0.8000760078430176,left-con,left,1
Stim1_204,274.79679703712463,275.30116510391235,0.5043680667877197,,,,,
Stim1_205,275.3346779346466,275.9969301223755,0.6622521877288818,275.9969301223755,0.6622521877288818,left-inc,left,1
Stim1_206,276.0301139354706,276.5301511287689,0.5000371932983398,,,,,
Stim1_207,276.56358909606934,277.16348910331726,0.5999000072479248,277.16348910331726,0.5999000072479248,right-con,right,1
Stim1_208,277.19682908058167,277.7011981010437,0.5043690204620361,,,,,
Stim1_209,277.7346861362457,278.43017411231995,0.6954879760742188,278.43017411231995,0.6954879760742188,left-neut,left,1
Stim1_210,278.4636490345001,278.98019194602966,0.516542911529541,,,,,
Stim1_211,279.0137951374054,279.6849670410156,0.6711719036102295,279.6849670410156,0.6711719036102295,right-inc,right,1
Stim1_212,279.71812105178833,280.2302119731903,0.5120909214019775,,,,,
Stim1_213,280.2635109424591,280.89684796333313,0.6333370208740234,280.89684796333313,0.6333370208740234,right-neut,right,1
Stim1_214,280.93019914627075,281.4303641319275,0.5001649856567383,,,,,
Stim1_215,281.46351194381714,282.1180770397186,0.6545650959014893,282.1180770397186,0.6545650959014893,right-neut,right,1
Stim1_216,282.15123414993286,282.66371297836304,0.5124788284301758,,,,,
Stim1_217,282.696830034256,283.28021907806396,0.5833890438079834,283.28021907806396,0.5833890438079834,right-con,right,1
Stim1_218,283.31353998184204,283.81372714042664,0.5001871585845947,,,,,
Stim1_219,283.8470730781555,284.64709210395813,0.8000190258026123,284.64709210395813,0.8000190258026123,right-inc,right,1
Stim1_220,284.68022894859314,285.1802611351013,0.5000321865081787,,,,,
Stim1_221,285.21367597579956,286.1139199733734,0.9002439975738525,286.1139199733734,0.9002439975738525,left-inc,left,1
Stim1_222,286.1469030380249,286.6514871120453,0.5045840740203857,,,,,
Stim1_223,286.68036103248596,287.3469190597534,0.666558027267456,287.3469190597534,0.666558027267456,right-neut,right,1
Stim1_224,287.3802721500397,287.8803081512451,0.5000360012054443,,,,,
Stim1_225,287.9137761592865,288.5849721431732,0.6711959838867188,288.5849721431732,0.6711959838867188,left-inc,left,1
Stim1_226,288.6179449558258,289.1303241252899,0.5123791694641113,,,,,
Stim1_227,289.16360998153687,289.79699516296387,0.633385181427002,289.79699516296387,0.633385181427002,left-neut,left,1
Stim1_228,289.8302960395813,290.3303439617157,0.5000479221343994,,,,,
Stim1_229,290.36360597610474,291.0015139579773,0.6379079818725586,291.0015139579773,0.6379079818725586,right-neut,right,1
Stim1_230,291.0347089767456,291.5469810962677,0.5122721195220947,,,,,
Stim1_231,291.5802791118622,292.21366810798645,0.6333889961242676,292.21366810798645,0.6333889961242676,left-con,left,1
Stim1_232,292.247013092041,292.74703097343445,0.5000178813934326,,,,,
Stim1_233,292.78031516075134,293.3343880176544,0.5540728569030762,293.3343880176544,0.5540728569030762,right-neut,right,1
Stim1_234,293.36809611320496,293.8803880214691,0.5122919082641602,,,,,
Stim1_235,293.91375207901,294.56370210647583,0.6499500274658203,294.56370210647583,0.6499500274658203,right-con,right,1
Stim1_236,294.5972411632538,295.11372995376587,0.516488790512085,,,,,
Stim1_237,295.1473939418793,295.93055605888367,0.7831621170043945,295.93055605888367,0.7831621170043945,left-inc,left,1
Stim1_238,295.96374893188477,296.46377515792847,0.5000262260437012,,,,,
Stim1_239,296.49707794189453,297.11389994621277,0.6168220043182373,297.11389994621277,0.6168220043182373,left-neut,left,1
Stim1_0,297.14708399772644,297.6514461040497,0.5043621063232422,,,,,
Break1_0,297.6855630874634,310.22987699508667,12.544313907623291,310.22987699508667,12.544313907623291,,space,
Stim2_1,310.2640061378479,311.6806380748749,1.4166319370269775,311.6806380748749,1.4166319370269775,left-con,left,1
Stim2_2,311.71394515037537,312.2139880657196,0.5000429153442383,,,,,
Stim2_3,312.2472529411316,312.7806329727173,0.5333800315856934,312.7806329727173,0.5333800315856934,left-neut,left,1
Stim2_4,312.81394696235657,313.3183479309082,0.5044009685516357,,,,,
Stim2_5,313.3517701625824,314.0974681377411,0.7456979751586914,314.0974681377411,0.7456979751586914,right-inc,right,1
Stim2_6,314.13064408302307,314.63068103790283,0.5000369548797607,,,,,
Stim2_7,314.6641221046448,315.5519609451294,0.8878388404846191,315.5519609451294,0.8878388404846191,left-inc,left,1
Stim2_8,315.58471608161926,316.09737396240234,0.512657880783081,,,,,
Stim2_9,316.1308150291443,316.7808449268341,0.6500298976898193,316.7808449268341,0.6500298976898193,left-inc,left,1
Stim2_10,316.81417298316956,317.33074712753296,0.5165741443634033,,,,,
Stim2_11,317.3643310070038,318.0308690071106,0.6665380001068115,318.0308690071106,0.6665380001068115,left-inc,left,1
Stim2_12,318.0640561580658,318.56417894363403,0.5001227855682373,,,,,
Stim2_13,318.5973000526428,319.18069100379944,0.5833909511566162,319.18069100379944,0.5833909511566162,left-con,left,1
Stim2_14,319.2140431404114,319.71409606933594,0.5000529289245605,,,,,
Stim2_15,319.74754095077515,320.49755096435547,0.7500100135803223,320.49755096435547,0.7500100135803223,left-inc,left,1
Stim2_16,320.53074193000793,321.0308930873871,0.5001511573791504,,,,,
Stim2_17,321.0640389919281,321.64741110801697,0.5833721160888672,321.64741110801697,0.5833721160888672,right-neut,right,1
Stim2_18,321.6807110309601,322.1855380535126,0.5048270225524902,,,,,
Stim2_19,322.2183840274811,322.8474929332733,0.6291089057922363,322.8474929332733,0.6291089057922363,right-con,right,1
Stim2_20,322.88076400756836,323.3807830810547,0.5000190734863281,,,,,
Stim2_21,323.41437005996704,324.08091592788696,0.6665458679199219,324.08091592788696,0.6665458679199219,left-inc,left,1
Stim2_22,324.1142671108246,324.6142840385437,0.5000169277191162,,,,,
Stim2_23,324.6475429534912,325.23095297813416,0.5834100246429443,325.23095297813416,0.5834100246429443,left-con,left,1
Stim2_24,325.26421213150024,325.7808210849762,0.5166089534759521,,,,,
Stim2_25,325.8142960071564,326.4684419631958,0.6541459560394287,326.4684419631958,0.6541459560394287,left-inc,left,1
Stim2_26,326.502023935318,327.0141739845276,0.5121500492095947,,,,,
Stim2_27,327.0477409362793,327.6476330757141,0.5998921394348145,327.6476330757141,0.5998921394348145,left-inc,left,1
Stim2_28,327.680801153183,328.18083810806274,0.5000369548797607,,,,,
Stim2_29,328.21430802345276,328.95266103744507,0.7383530139923096,328.95266103744507,0.7383530139923096,right-inc,right,1
Stim2_30,328.98562598228455,329.4975759983063,0.5119500160217285,,,,,
Stim2_31,329.53080916404724,330.14752411842346,0.6167149543762207,330.14752411842346,0.6167149543762207,right-neut,right,1
Stim2_32,330.1808440685272,330.6809141635895,0.5000700950622559,,,,,
Stim2_33,330.71434211730957,331.41449213027954,0.7001500129699707,331.41449213027954,0.7001500129699707,right-inc,right,1
Stim2_34,331.4474289417267,331.94757294654846,0.5001440048217773,,,,,
Stim2_35,331.9809830188751,332.69772005081177,0.7167370319366455,332.69772005081177,0.7167370319366455,left-inc,left,1
Stim2_36,332.73088693618774,333.23528695106506,0.5044000148773193,,,,,
Stim2_37,333.2685570716858,333.88094305992126,0.6123859882354736,333.88094305992126,0.6123859882354736,left-con,left,1
Stim2_38,333.91417503356934,334.41428995132446,0.500114917755127,,,,,
Stim2_39,334.44755005836487,335.0642819404602,0.6167318820953369,335.0642819404602,0.6167318820953369,left-neut,left,1
Stim2_40,335.0975720882416,335.6019539833069,0.5043818950653076,,,,,
Stim2_41,335.6354241371155,336.2977719306946,0.6623477935791016,336.2977719306946,0.6623477935791016,right-neut,right,1
Stim2_42,336.33094906806946,336.8309910297394,0.5000419616699219,,,,,
